Gene Symbol,Name,Entrez GeneId,Genome Location,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
MAP2K4,mitogen-activated protein kinase kinase 4,6416,17:12020887-12141260,17p11.2,yes,,"pancreatic, breast, colorectal",,,E,Rec,,"D, Mis, N",,,,"6416,MEK4,SEK1,JNKK,MAPKK4,PRKMK4,MKK4,JNKK1,SERK1,ENSG00000065559,P45985,MAP2K4"
MAP3K1,"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase",4214,5:56152434-56189507,5q11.2,yes,,luminal A breast,,,E,Rec,,"N, F, Mis, O, S",,yes,"46,XY sex reversal 6","MAP3K1,ENSG00000095015,MAPKKK1,MEKK,MEKK1,Q13233,4214"
MAP3K13,mitogen-activated protein kinase kinase kinase 13,9175,3:185428582-185482456,3q27,yes,,breast,,,E,Rec,,F,,,,"9175,MGC133196,LZK,ENSG00000073803,MAP3K13"
MAX,Myc associated factor X,4149,14:65076476-65102339,14q23,yes,yes,"pheochromocytoma, endometrioid carcinoma, colon carcinoma",pheochromocytoma,,"E, O",Rec,,"Mis, N, F",,,,"MAX,MGC36767,MGC34679,orf1,MGC11225,P61244,MGC10775,MGC18164,ENSG00000125952,4149"
MDM2,Mdm2 p53 binding protein homolog,4193,12:68808478-68839849,12q15,yes,,"sarcoma, glioma, colorectal, other tumour types",,,"M, O, E, L",Dom,oncogene,A,,,,"4193,HDM2,Q00987,hdm2,MGC71221,HDMX,ENSG00000135679,MDM2"
MDM4,Mdm4 p53 binding protein homolog,4194,1:204525519-204549682,1q32,yes,,"glioblastoma, bladder, retinoblastoma",,,M,Dom,oncogene,A,,,,"MDM4,DKFZp781B1423,MGC132766,MDMX,MRP1,RP11-430C7_1,ENSG00000198625,4194"
MDS2,myelodysplastic syndrome 2,259283,1:23629556-23640550,1p36,yes,,MDS,,,L,Dom,,T,ETV6,,,"MDS2,Q8NDY4,ENSG00000197880,259283"
MECOM,MDS1 and EVI1 complex locus,2122,3:169084909-169131477,3q26.2,yes,,"AML, CML, MDS",,,L,Dom,oncogene,T,"RUNX1, ETV6, PRDM16, RPN1",,,"EVI1,MDS1-EVI1,PRDM3,Q03112,ENSG00000085276,2122,EVI1"
MED12,mediator complex subunit 12,9968,X:71118755-71142218,Xq13,yes,,uterine leiomyoma,,,M,Dom,,"Mis, S",,yes,Opitz-Kaveggia Syndrome,"Q93074,MED12_ENST00000374080,9968,ARC240,CAGH45,FGS1,HOPA,KIAA0192,OKS,TNRC11,TRAP230"
MEN1,multiple endocrine neoplasia type 1 gene,4221,11:64804334-64810109,11q13,yes,yes,"parathyroid tumours, pancreatic neuroendocrine tumour","parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid",multiple endocrine neoplasia type 1,E,Rec,TSG,"D, Mis, N, F, S",,,,"MEN1,ENSG00000133895,4221"
MET,met proto-oncogene (hepatocyte growth factor receptor),4233,7:116699085-116796124,7q31,yes,,"papillary renal, head-neck squamous cell",papillary renal,familial papillary renal cancer,E,Dom,oncogene,Mis,,,,"4233,RCCP2,AUTS9,HGFR,P08581,ENSG00000105976,MET"
MITF,microphthalmia-associated transcription factor,4286,3:69936723-69965248,3p14.1,yes,,melanoma,,,E,Dom,,A,,yes,"Waardenburg syndrome type 2, Tietz syndrome","WS2A,MITF,4286,ENSG00000187098"
MKL1,megakaryoblastic leukemia (translocation) 1,57591,22:40411390-40463227,22q13,yes,,acute megakaryocytic leukaemia,,,L,Dom,,T,RBM15,,,"57591,BSAC,MRTF-A,Q969V6,ENSG00000196588,MKL1"
MLF1,myeloid leukemia factor 1,4291,3:158571302-158605203,3q25.1,yes,,AML,,,L,Dom,,T,NPM1,,,"4291,P58340,ENSG00000178053,MLF1"
MLH1,E.coli MutL homolog gene,4292,3:36993548-37050653,3p21.3,yes,yes,"colorectal, endometrial, ovarian, CNS tumours","colorectal, endometrial, ovarian, CNS","hereditary non-polyposis colorectal cancer, Turcot syndrome","E, O",Rec,,"D, Mis, N, F, S",,,,"MLH1,COCA2,HNPCC,MGC5172,P40692,HNPCC2,FCC2,hMLH1,ENSG00000076242,4292"
MLLT1,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 (ENL)",4298,19:6213042-6279784,19p13.3,yes,,AL,,,L,Dom,oncogene,T,KMT2A,,,"MLLT1,ENL,LTG19,YEATS1,Q03111,ENSG00000130382,4298"
MLLT10,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 (AF10)",8028,10:21534646-21740235,10p12,yes,,AL,,,L,Dom,,T,"KMT2A, PICALM, CDK6",,,"MLLT10,P55197,AF10,ENSG00000078403,8028"
MLLT11,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11",10962,1:151039702-151040970,1q21,yes,,ALL,,,L,Dom,,T,KMT2A,,,"MLLT11,Q13015,AF1Q,ENSG00000213190,10962"
MLLT3,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 (AF9)",4300,9:20346443-20622256,9p22,yes,,ALL,,,L,Dom,oncogene,T,KMT2A,,,"4300,AF9,AF-9,YEATS3,P42568,ENSG00000171843,MLLT3"
MLLT4,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (AF6)",4301,6:167827134-167952263,6q27,yes,,AL,,,L,Dom,,T,KMT2A,,,"MLLT4,ENSG00000130396,4301"
MLLT6,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 (AF17)",4302,17:36861887-36881852,17q21,yes,,AL,,,L,Dom,,T,KMT2A,,,"4302,AF17,P55198,ENSG00000108292,MLLT6"
MN1,meningioma (disrupted in balanced translocation) 1,4330,22:27750915-27800543,22q13,yes,,"AML, meningioma",,,"L, O",Dom,,T,ETV6,,,"Q10571,MN1,4330,ENSG00000169184,dJ353E16_2,MGCR,MGCR1,MGCR1-PEN"
MNX1,motor neuron and pancreas homeobox 1,3110,7:157005520-157010350,7q36,yes,,AML,,,L,Dom,,T,ETV6,yes,Currarino syndrome,"3110,HB9,HLXB9,P50219,ENSG00000130675,HLXB9"
MPL,"myeloproliferative leukaemia virus oncogene, thrombopoietin receptor",4352,1:43337849-43352772,1p34,yes,yes,MPN,MPN,familial essential thrombocythemia,L,Dom,oncogene,Mis,,yes,Congenital amegakaryocytic thrombocytopenia,"P40238,TPOR,RP1-92O14_1,C-MPL,MPLV,CD110,ENSG00000117400,4352,MPL"
MSH2,mutS homolog 2 (E. coli),4436,2:47403192-47482949,2p22-p21,yes,yes,"colorectal, endometrial, ovarian","colorectal, endometrial, ovarian",hereditary non-polyposis colorectal cancer,E,Rec,,"D, Mis, N, F, S",,,,"4436,COCA1,P43246,HNPCC1,FCC1,HNPCC,ENSG00000095002,MSH2"
MSH6,mutS homolog 6 (E. coli),2956,2:47783234-47806860,2p16,yes,yes,colorectal,"colorectal, endometrial, ovarian",hereditary non-polyposis colorectal cancer,E,Rec,,"Mis, N, F, S",,,,"MSH6,GTBP,HNPCC5,HSAP,ENSG00000116062,2956,P52701"
MSI2,musashi homolog 2 (Drosophila),124540,17:57257049-57631832,17q23.2,yes,,CML,,,L,Dom,,T,HOXA9,,,"124540,ENSG00000153944,MSI2"
MSN,moesin,4478,X:65667842-65739893,Xq11.2-q12,yes,,ALCL,,,L,Dom,,T,ALK,,,"MSN,P26038,ENSG00000147065,4478"
MTCP1,mature T-cell proliferation 1,4515,X:155061843-155064023,Xq28,yes,,T cell prolymphocytic leukaemia,,,L,Dom,,T,TRA,,,"MTCP1,C6_1B,GS1-273L24_4,ENSG00000214827,4515"
MTOR,mechanistic target of rapamycin,2475,1:11107485-11259409,1p36,yes,,"endometrial carcinoma, head and neck, clear cell renal cell carcinoma",,,E,Dom,oncogene,"Mis, N",,yes,Smith-Kingsmore syndrome,"FRAP1,FRAP2,MTOR,FLJ44809,FRAP,RAFT1,RAPT1,P42345,ENSG00000198793,2475,FRAP1"
MUC1,"mucin 1, transmembrane",4582,1:155186135-155192843,1q21,yes,,B-NHL,,,L,Dom,,T,IGH,,,"4582,PEM,H23AG,CD227,EMA,MAM6,PUM,ENSG00000185499,MUC1"
MUTYH,mutY homolog (E. coli),4595,1:45329306-45340254,1p34.3-1p32.1,,yes,,colorectal,adenomatous polyposis coli,E,Rec,,Mis,,,,"MUTYH,MYH,MYHbeta,MGC4416,hMYH,ENSG00000132781,4595"
MYB,v-myb myeloblastosis viral oncogene homolog,4602,6:135181514-135217980,6q22-23,yes,,adenoid cystic carcinoma,,,E,Dom,,T,NFIB,,,"4602,c-myb_CDS,c-myb,Cmyb,efg,P10242,ENSG00000118513,MYB"
MYC,v-myc myelocytomatosis viral oncogene homolog (avian),4609,8:127738263-127740958,8q24.12-q24.13,yes,,"Burkitt lymphoma, amplified in other cancers, B-CLL",,,"L, E",Dom,oncogene,"A, T","IGK, BCL5, BCL7A , BTG1, TRA, IGH",,,"MYC,c-Myc,ENSG00000136997,4609"
MYCL,v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog,4610,1:39900814-39901434,1p34.2,yes,,small cell lung carcinoma,,,E,Dom,,A,,,,"4610,LMYC,MYCL,ENSG00000116990,MYCL,MYCL1"
MYCN,"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)",4613,2:15942065-15946097,2p24.1,yes,,neuroblastoma,,,O,Dom,oncogene,A,,,,"4613,N-myc,ODED,MODED,NMYC,ENSG00000134323,MYCN"
MYD88,myeloid differentiation primary response gene (88),4615,3:38138662-38141286,3p22,yes,,ABC-DLBCL,,,L,Dom,oncogene,Mis,,,,"Q99836,MYD88_ENST00000396334,4615,MYD88D"
MYH11,"myosin, heavy polypeptide 11, smooth muscle",4629,16:15708811-15838252,16p13.13-p13.12,yes,,AML,,,L,Dom,,T,CBFB,,,"MYH11,ENSG00000133392,4629"
MYH9,"myosin, heavy polypeptide 9, non-muscle",4627,22:36282668-36349236,22q13.1,yes,,ALCL,,,L,Dom,,T,ALK,yes,"Deafness, autosomal dominant 17, Epstein syndrome, Fechtner syndrome, May-Hegglin anomaly, Sebastian syndrome","MYH9,P35579,DFNA17,ENSG00000100345,4627"
MYO5A,"myosin VA (heavy chain 12, myoxin)",4644,15:52313696-52528806,15q21,yes,,Spitzoid tumour,,,E,Dom,,T,ROS1,yes,Griscelli syndrome,"Q9Y4I1,MYO5A,4644,ENSG00000197535,GS1,MYH12,MYO5,MYR12"
MYOD1,myogenic differentiation 1,4654,11:17719783-17721508,11p15.4,yes,,embryonal rhabdomyosarcoma,,,M,Dom,,Mis,,,,"4654,ENSG00000129152,MYF3,MYOD,PUM,P15172,MYOD1"
NAB2,NGFI-A binding protein 2,4665,12:57089272-57094721,12q13.3,yes,,"solitary fibrous tumour, meningeal haemangiopericytoma",,,"M, O",Dom,oncogene,T,STAT6,,,"4665,MADER,MGC75085,Q15742,ENSG00000166886,NAB2"
NACA,nascent-polypeptide-associated complex alpha polypeptide,4666,12:56712538-56724521,12q23-q24.1,yes,,NHL,,,L,Dom,,T,BCL6,,,"4666,HSD48,NACAP1,FKSG17,Q13765,NACA1,MGC117224,ENSG00000196531,NACA"
NBN,nibrin,4683,8:89935582-89984561,8q21,,yes,,"NHL, glioma, medulloblastoma, rhabdomyosarcoma",Nijmegen breakage syndrome,"L, E, M, O",Rec,,"Mis, N, F",,,,"4683,AT-V2,NBS1,MGC87362,AT-V1,NBS,FLJ10155,ATV,ENSG00000104320,NBN"
NCKIPSD,NCK interacting protein with SH3 domain,51517,3:48674544-48685807,3p21,yes,,ALL,,,L,Dom,,T,KMT2A,,,"NCKIPSD,AF3P21,ORF1,WISH,Q9NZQ3,WASLBP,SPIN90,ENSG00000213672,51517"
NCOA1,nuclear receptor coactivator 1,8648,2:24658678-24768391,2p23,yes,,alveolar rhabdomyosarcoma,,,M,Dom,,T,PAX3,,,"NCOA1,RIP160,F-SRC-1,MGC129720,MGC129719,SRC1,NCoA-1,ENSG00000084676,8648"
NCOA2,nuclear receptor coactivator 2 (TIF2),10499,8:70113632-70216745,8q13.1,yes,,"AML, chondrosarcoma, rhabdomyosarcoma",,,"L, M",Dom,,T,"KAT6A, HEY1, NCOA2",,,"NCOA2,TIF2,MGC138808,NCoA-2,ENSG00000140396,10499"
NCOA4,nuclear receptor coactivator 4 - PTC3 (ELE1),8031,10:51579142-51586417,10q11.2,yes,,papillary thyroid,,,E,Dom,,T,RET,,,"NCOA4,RP11-481A12_4,ARA70,DKFZp762E1112,RFG,Q13772,ELE1,PTC3,ENSG00000138293,8031"
NCOR1,nuclear receptor corepressor 1,9611,17:16032296-16194569,17p11.2,yes,,breast,,,E,Rec,,"Mis, F, N, O",,yes,Ulnar-mammary syndrome,"NCOR1,hCIT529I10,KIAA1047,hN-CoR,O75376,TRAC1,MGC104216,N-CoR,ENSG00000141027,9611"
NCOR2,nuclear receptor corepressor 2,9612,12:124325402-124495251,12q24,yes,,prostate,,,E,Dom,TSG,"Mis, F, N, O",,,,"NCOR2,SMRTE-tau,TRAC1,CTG26,SMRT,TRAC-1,TNRC14,SMRTE,ENSG00000196498,9612"
NDRG1,N-myc downstream regulated 1,10397,8:133238878-133284311,8q24.3,yes,,prostate,,,E,Dom,,T,ERG,,,"10397,NDR1,CAP43,NMSL,PROXY1,TDD5,RTP,GC4,HMSNL,TARG1,CMT4D,RIT42,Q92597,ENSG00000104419,NDRG1"
NF1,neurofibromatosis type 1 gene,4763,17:31095310-31374155,17q12,yes,yes,"neurofibroma, glioma","neurofibroma, glioma",neurofibromatosis type 1,O,Rec,,"D, Mis, N, F, S, O",,,,"NF1,NFNS,P21359,ENSG00000196712,4763"
NF2,neurofibromatosis type 2 gene,4771,22:29603999-29694802,22q12.2,yes,yes,"meningioma, acoustic neuroma, renal","meningioma, acoustic neuroma",neurofibromatosis type 2,O,Rec,,"D, Mis, N, F, S, O",,,,"4771,ACN,BANF,Merlin,SCH,P35240,ENSG00000186575,NF2"
NFATC2,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2",4773,20:51391396-51542499,20q13.2,yes,,Ewing sarcoma,,,M,Dom,,T,EWSR1,,,"4773,ENSG00000101096,KIAA0611,NFAT1,NFATP,Q13469,NFATC2"
NFE2L2,nuclear factor (erythroid-derived 2)-like 2 (NRF2),4780,2:177230785-177264576,2q31,yes,,"NSCLC, HNSCC",,,E,Dom,,Mis,,,,"4780,ENSG00000116044,NRF2,Q16236,NFE2L2"
NFIB,nuclear factor I/B,4781,9:14088309-14313511,9p24.1,yes,,"adenoid cystic carcinoma, lipoma",,,E,Dom,,T,"MYB, HGMA2",,,"4781,RP11-280O24_2,NFIB3,NFI-RED,NFIB2,ENSG00000147862,NFIB"
NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),4791,10:102395960-102402376,10q24,yes,,B-NHL,,,L,Dom,oncogene,T,IGH,,,"LYT10,ENSG00000077150,NFKB2,4791,LYT-10"
NFKBIE,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon",4794,6:44259219-44265763,6p21.1,yes,,"CLL, desmoplastic melanoma",,,"L, E",Dom/Rec,,"F, Mis",,,,"4794,ENSG00000146232,IKBE,O00221,NFKBIE"
NIN,ninein (GSK3B interacting protein),51199,14:50725872-50822056,14q24,yes,,MPN,,,L,Dom,,T,PDGFRB,,,"NIN,KIAA1565,ENSG00000100503,51199"
NKX2-1,NK2 homeobox 1,7080,14:36517278-36519357,14q13,yes,,NSCLC,,,E,Dom,,A,,,,"7080,BCH,NK-2,NKX2_1,TTF-1,NKX2A,BHC,TEBP,TITF1,P43699,ENSG00000136352,TITF1"
NONO,"non-POU domain containing, octamer-binding",4841,X:71290638-71300076,Xq13.1,yes,,papillary renal,,,E,Dom,,T,TFE3,,,"4841,Q15233,P54,NMT55,P54NRB,NRB54,ENSG00000147140,NONO"
NOTCH1,"Notch homolog 1, translocation-associated (Drosophila) (TAN1)",4851,9:136496071-136545786,9q34.3,yes,,"T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC",,,"L, E",Dom/Rec,oncogene/TSG,"T, Mis, O","TRB, SEC16A, GABBR2",,,"NOTCH1,TAN1,hN1,ENSG00000148400,4851,P46531"
NOTCH2,Notch homolog 2,4853,1:119915306-120069406,1p13-p11,yes,,"marginal zone lymphoma, DLBCL, bladder",,,"L, E",Dom/Rec,oncogene/TSG,"N, F, Mis",,yes,"Hajdu-Cheney syndrome, serpentine fibula-polycystic kidney syndrome","4853,Q04721,hN2,AGS2,ENSG00000134250,NOTCH2"
NPM1,"nucleophosmin (nucleolar phosphoprotein B23, numatrin)",4869,5:171387949-171410565,5q35,yes,,"NHL, APL, AML",,,L,Dom,,"T, F","ALK, RARA, MLF1",,,"4869,NPM,MGC104254,B23,P06748,ENSG00000181163,NPM1"
NR4A3,"nuclear receptor subfamily 4, group A, member 3 (NOR1)",8013,9:99828041-99863867,9q22,yes,,extraskeletal myxoid chondrosarcoma,,,M,Dom,,T,"EWSR1, TAF15, TCF12, TFG",,,"NR4A3,MINOR,CSMF,NOR1,CHN,Q92570,ENSG00000119508,8013"
NRAS,neuroblastoma RAS viral (v-ras) oncogene homolog,4893,1:114708535-114716160,1p13.2,yes,,"melanoma, MM, AML, thyroid",,,"L, E",Dom,oncogene,Mis,,,,"4893,N-ras,NRAS1,P01111,ENSG00000213281,NRAS"
NRG1,neuregulin 1,3084,8:32548727-32764402,8p12,yes,,NSCLC,,,E,Dom,,T,CD74,,,"3084,ENSG00000157168,NRG1,ARIA,GGF,GGF2,HGL,HRG1,HRGA,NDF,SMDF"
NSD1,nuclear receptor binding SET domain protein 1,64324,5:177135104-177295459,5q35,yes,,AML,,,L,Dom,,T,NUP98,yes,Sotos Syndrome,"64324,FLJ44628,SOTOS,STO,ARA267,DKFZp666C163,FLJ22263,Q96L73,ENSG00000165671,NSD1"
NT5C2,"5'-nucleotidase, cytosolic II",22978,10:103089672-103174958,10q24.32,yes,,relapse ALL,,,L,Dom,,Mis,,yes,Spastic paraplegia-45,"22978,ENSG00000076685,cN-II,GMP,NT5B,PNT5,P49902,NT5C2"
NTRK1,"neurotrophic tyrosine kinase, receptor, type 1",4914,1:156860935-156881642,1q21-q22,yes,,"papillary thyroid, Spitzoid tumour",,,E,Dom,,T,"TPM3, TPR, TFG, TP53, LMNA",,,"4914,ENSG00000198400,TRK,TRKA,p140-TrkA,DKFZp781I14186,MTC,TRK1,P04629,NTRK1"
NTRK3,"neurotrophic tyrosine kinase, receptor, type 3",4916,15:87876935-88256153,15q25,yes,,"congenital fibrosarcoma, secretory breast",,,"E, M",Dom,,T,ETV6,,,"4916,TRKC,gp145(trkC),Q16288,ENSG00000140538,NTRK3"
NUMA1,nuclear mitotic apparatus protein 1,4926,11:72003527-72035943,11q13,yes,,APL,,,L,Dom,,T,RARA,,,"NUMA1,Q14980,NUMA,ENSG00000137497,4926"
NUP214,nucleoporin 214kDa (CAN),8021,9:131125705-131233487,9q34.1,yes,,"AML, T-ALL",,,L,Dom,,T,"DEK, SET, ABL1",,,"NUP214,ENSG00000126883,CAN,P35658,CAIN,N214,RP11-544A12_7,D9S46E,MGC104525,8021"
NUP98,nucleoporin 98kDa,4928,11:3676159-3782117,11p15,yes,,AML,,,L,Dom,,T,"HOXA9, NSD1, WHSC1L1, DDX10, TOP1, HOXD13, PRRX1, HOXA13, HOXD11, HOXA11, RAP1GDS1, HOXC11",,,"NUP98,NUP196,ENSG00000110713,ADIR2,4928"
NUTM1,"NUT midline carcinoma, family member 1",256646,15:34346021-34357492,15q14,yes,,lethal midline carcinoma,,,E,Dom,,T,"BRD3, BRD4",,,"NUT,NUT,ENSG00000184507,256646"
NUTM2A,NUT family member 2A,728118,10:87358266-87367372,10q23.2,yes,,endometrial stromal sarcoma,,,M,Dom,,T,YWHAE,,,"NUTM2A,ENSG00000184923,FAM22A,728118,KIAA2020,Q8IVF1,Q5VT03"
NUTM2B,NUT family member 2B,729262,10:79703610-79712485,10q22.3,yes,,endometrial stromal sarcoma,,,M,Dom,,T,YWHAE,,,"A6NNL0,FAM22B,NUTM2B,729262"
OLIG2,oligodendrocyte lineage transcription factor 2 (BHLHB1),10215,21:33026863-33027834,21q22.11,yes,,T-ALL,,,L,Dom,,T,TRA,,,"OLIG2,OLIGO2,PRKCBP2,RACK17,BHLHB1,ENSG00000205927,10215"
OMD,osteomodulin,4958,9:92415152-92417558,9q22.31,yes,,aneurysmal bone cyst,,,M,Dom,,T,USP6,,,"OMD,osteoadherin,SLRR2C,Q99983,ENSG00000127083,4958"
P2RY8,"purinergic receptor P2Y, G-protein coupled, 8",286530,"X,Y:1465479-1466558","Xp22.3; Yp11.3",yes,,"B-ALL, Down syndrome associated ALL",,,L,Dom,,T,CRLF2,,,"286530,RP11-261P4_4,Q86VZ1,P2Y8,MGC50878,ENSG00000182162,P2RY8"
PAFAH1B2,"platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa",5049,11:117152449-117167700,11q23,yes,,MLCLS,,,L,Dom,,T,IGH,,,"5049,P68402,ENSG00000168092,PAFAH1B2"
PALB2,partner and localizer of BRCA2,79728,16:23603459-23641157,16p12.1,,yes,,"Wilms tumour, medulloblastoma, AML ,breast","Fanconi anaemia N, breast cancer susceptibility","L, O, E",Rec,TSG,"F, N, Mis",,,,"79728,ENSG00000083093,PALB2"
PAX3,paired box gene 3,5077,2:222201174-222298615,2q35,yes,,alveolar rhabdomyosarcoma,,,M,Dom,,T,"FOXO1, NCOA1, NCOA2",yes,"Waardenburg syndrome; craniofacial-deafness-hand syndrome","PAX3,MGC120382,MGC120381,MGC134778,MGC120384,WS1,P23760,HUP2,MGC120383,CDHS,ENSG00000135903,5077"
PAX5,paired box gene 5 (B-cell lineage specific activator protein),5079,9:36840560-37034031,9p13,yes,,"NHL, ALL, B-ALL",,,L,Dom,,"T, Mis, D, F, S","IGH, ETV6, PML, FOXP1, ZNF521, ELN",,,"PAX5,Q02548,BSAP,ENSG00000196092,5079"
PAX7,paired box gene 7,5081,1:18631604-18736039,1p36.2-p36.12,yes,,alveolar rhabdomyosarcoma,,,M,Dom,,T,FOXO1,,,"5081,PAX7B,HUP1,P23759,ENSG00000009709,PAX7"
PAX8,paired box gene 8,7849,2:113218533-113278394,2q12-q14,yes,,follicular thyroid,,,E,Dom,,T,PPARG,yes,Thyroid dysgenesis,"7849,ENSG00000125618,PAX8"
PBRM1,polybromo 1,55193,3:52548063-52679711,3p21,yes,,"clear cell renal carcinoma, breast",,,E,Rec,TSG,"Mis, N, F, S, D, O",,,,"55193,BAF180,MGC156155,MGC156156,PB1,PBRM1"
PBX1,pre-B-cell leukemia transcription factor 1,5087,1:164559824-164846677,1q23,yes,,"pre B-ALL, myoepithelioma",,,"L, M",Dom,,T,"TCF3, EWSR1",,,"PBX1,P40424,5087"
PCM1,pericentriolar material 1  (PTC4),5108,8:17935611-18027662,8p22-p21.3,yes,,"papillary thyroid, CML, MPN",,,"E, L",Dom,,T,"RET, JAK2",,,"Q15154,PCM1,5108,ENSG00000078674,PTC4"
PCSK7,proprotein convertase subtilisin/kexin type 7,9159,11:117205997-117229844,11q23.3,yes,,MLCLS,,,L,Dom,,T,IGH,,,"PCSK7,Q16549,LPC,PC7,SPC7,PC8,ENSG00000160613,9159"
PDCD1LG2,programmed cell death 1 ligand 2,80380,9:5522547-5569959,9p24.2,yes,,"PMBL, Hodgkin lymphoma",,,L,Dom,,T,CIITA,,,"PDCD1LG2,Q9BQ51,bA574F11_2,PDL2,PD-L2,MGC142238,B7DC,CD273,PDCD1L2,Btdc,MGC142240,ENSG00000197646,80380"
PDE4DIP,phosphodiesterase 4D interacting protein (myomegalin),9659,1:148889754-149031985,1q12,yes,,MPN,,,L,Dom,,T,PDGFRB,,,"PDE4DIP,ENSG00000178104,9659"
PDGFB,platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog),5155,22:39225723-39243963,22q12.3-q13.1,yes,,DFSP,,,M,Dom,oncogene,T,COL1A1,,,"5155,SIS,SSV,c-sis,P01127,PDGF2,FLJ12858,ENSG00000100311,PDGFB"
PDGFRA,"platelet-derived growth factor, alpha-receptor",5156,4:54258769-54295272,4q11-q13,yes,yes,"GIST, idiopathic hypereosinophilic syndrome, paediatric glioblastoma",GIST,familial gastrointestinal stromal tumour,"L, M, O",Dom,oncogene,"Mis, O, T",FIP1L1,,,"PDGFRA,MGC74795,P16234,CD140a,Rhe-PDGFRA,CD140A,PDGFR2,ENSG00000134853,5156"
PDGFRB,"platelet-derived growth factor receptor, beta polypeptide",5159,5:150115763-150137047,5q31-q32,yes,,"MPN, AML, CMML, CML",,,L,Dom,,T,"ETV6, TRIP11, HIP1, RABEP1, H4, NIN, SPECC1, PDE4DIP",,,"5159,JTK12,CD140b,PDGFR,CD140B,PDGFR1,PDGF-R-beta,ENSG00000113721,P09619,PDGFRB"
PER1,period homolog 1 (Drosophila),5187,17:8141068-8150706,17p13.1-17p12,yes,,"AML, CMML",,,L,Dom,,T,ETV6,,,"5187,O15534,RIGUI,PER,ENSG00000179094,PER1"
PHF6,PHD finger protein 6,84295,X:134377618-134425330,Xq26.3,yes,,ETP ALL,,,L,Rec,,"F, N, S, Mis",,,,"PHF6,BORJ,MGC14797,ENSG00000156531,84295"
PHOX2B,paired-like homeobox 2b,8929,4:41745807-41748610,4p12,yes,yes,neuroblastoma,neuroblastoma,familial neuroblastoma,O,Rec,,"Mis, F",,yes,Congenital central hypoventilation syndrome,"8929,PHOX2B"
PICALM,phosphatidylinositol binding clathrin assembly protein (CALM),8301,11:85959046-86068780,11q14,yes,,"T-ALL, AML",,,L,Dom,,T,"MLLT10, KMT2A",,,"8301,CLTH,Q13492,CALM,ENSG00000073921,PICALM"
PIK3CA,"phosphoinositide-3-kinase, catalytic, alpha polypeptide",5290,3:179198826-179234364,3q26.3,yes,,"colorectal, gastric, glioblastoma, breast",,,"E, O",Dom,oncogene,Mis,,,,"5290,MGC142161,PI3K,p110-alpha,MGC142163,P42336,ENSG00000121879,PIK3CA"
PIK3R1,"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)",5295,5:68226676-68297601,5q13.1,yes,,"glioblastoma, ovarian, colorectal",,,"E, O",Rec,,"Mis, F, O",,,,"5295,P27986,GRB1,p85-ALPHA,ENSG00000145675,PIK3R1"
PIM1,pim-1 oncogene,5292,6:37170576-37174091,6p21.2,yes,,NHL,,,L,Dom,,T,BCL6,,,"5292,PIM,P11309,ENSG00000137193,PIM1"
PLAG1,pleiomorphic adenoma gene 1,5324,8:56166243-56168269,8q12,yes,,"salivary adenoma, lipoblastoma",,,E,Dom,,T,"TCEA1, LIFR, CTNNB1, CHCHD7, COL1A2, HAS2",,,"5324,ENSG00000181690,PLAG1"
PLCG1,"phospholipase C, gamma 1",5335,20:41137642-41174509,20q12-q13.1,yes,,angiosarcoma,,,E,Dom,,Mis,,,,"PLCG1,PLC1,PLC148,PLCgamma1,Plcg1,PLC-II,ENSG00000124181,5335"
PML,promyelocytic leukemia,5371,15:73994813-74045008,15q22,yes,,"APL, ALL",,,L,Dom,oncogene,T,"RARA, PAX5",,,"PML,TRIM19,RNF71,PP8675,MYL,ENSG00000140464,5371"
PMS1,PMS1 postmeiotic segregation increased 1 (S. cerevisiae),5378,2:189791810-189877436,2q31-q33,,yes,,"colorectal, endometrial, ovarian",hereditary non-polyposis colorectal cancer,E,Rec,,"Mis, N",,,,"5378,hPMS1,DKFZp781M0253,HNPCC3,PMSL1,ENSG00000064933,PMS1"
